author_id,report_id,no_of_srrs,no_of_psrs,percent_srrs,author_full_name
7102897776,[66],0,1,0.0,Taiki Yamaji
7103041111,"[42, 45, 55, 46, 56, 57, 32, 38]",0,8,0.0,Paul K. Whelton
7103067646,[68],0,1,0.0,Johane P. Allard
7103096477,[40],0,1,0.0,I. Kawachi
7103100613,[53],0,1,0.0,Diederick E. Grobbee
7103154099,"[74, 91]",0,2,0.0,Matthew McQueen
7103228330,[61],0,1,0.0,Hideaki Toyoshima
7103230477,[92],0,1,0.0,Roman Pfister
7103379311,[31],0,1,0.0,Wen Yung Sheng
7103393781,[61],0,1,0.0,Naohito Tanabe
7201621928,"[61, 82]",0,2,0.0,Yutaka Inaba
7201925889,[91],0,1,0.0,Rafael Diaz
7201942694,[31],0,1,0.0,Benjamin N. Chiang
7201984627,[83],0,1,0.0,L. C.W. Lam
7202131153,[26],0,1,0.0,T. Morgan
7202349296,[58],0,1,0.0,Susanna C. Larsson
7202415416,[77],0,1,0.0,Jan A. Staessen
7202420540,[62],0,1,0.0,Robert D. Abbott
7202563279,[12],1,0,1.0,Fiona Taylor
7202563785,"[74, 91]",0,2,0.0,Koon Teo
7202729333,[62],0,1,0.0,Yoshikuni Kita
7202749318,"[74, 91]",0,2,0.0,Salim Yusuf
7202827771,[70],0,1,0.0,Yasuo Koike
7202860324,[51],0,1,0.0,Wen Ting Yeh
7202992021,"[55, 11, 56, 57, 32, 38]",1,5,0.16666666666666666,Nancy R. Cook
7401705370,[54],0,1,0.0,Colleen Ng
7401906952,[54],0,1,0.0,Beifan Zhou
7402219783,[51],0,1,0.0,Wen Harn Pan
7402402501,[27],0,1,0.0,K. Yano
7402437110,"[71, 72]",0,2,0.0,Misook L. Chung
7402808799,"[33, 34, 41, 52, 59, 93]",0,6,0.0,Hillel W. Cohen
7402929833,[26],0,1,0.0,W. Adam
7403005275,"[61, 82]",0,2,0.0,Shogo Kikuchi
7403042539,[70],0,1,0.0,Yasuhiro Hasegawa
7403332446,[54],0,1,0.0,Dongshuang Guo
7403392940,[79],0,1,0.0,Yuling Hong
7403506925,[81],0,1,0.0,Clinton B. Wright
7403575517,[49],0,1,0.0,Natsuki Shimizu
7404075857,[79],0,1,0.0,Quanhe Yang
7404097786,[31],0,1,0.0,Han Hwa Hu
7404230880,[61],0,1,0.0,Takaaki Kondo
7404282589,[90],0,1,0.0,Jonathan G. Fox
7404410528,[87],0,1,0.0,Mark E. Cooper
7404503994,[79],0,1,0.0,Man Huei Chang
7404869769,[43],0,1,0.0,Alan C. Wilson
7404971729,[74],0,1,0.0,Arya M. Sharma
7404983432,"[45, 11, 46]",1,2,0.3333333333333333,Jiang He
7407523087,[51],0,1,0.0,Hsing Yi Chang
7801308438,[68],0,1,0.0,Abdul Al-Hesayen
8060715700,[79],0,1,0.0,Tiebin Liu
8127208900,[90],0,1,0.0,E. Marie Freel
8222772100,[14],1,0,1.0,Rosana Poggio
8274966400,[88],0,1,0.0,Chiemi Kamada
8412763300,"[78, 87]",0,2,0.0,Valma Harjutsalo
8426709100,[88],0,1,0.0,Yukio Yoshimura
8505077900,[66],0,1,0.0,Taichi Shimazu
8525341800,"[50, 63, 64, 75, 60]",0,5,0.0,Sergio Fasullo
8578301200,[54],0,1,0.0,Yangfeng Wu
8637630800,[7],1,0,1.0,Xiu Yang Li
8717911500,"[78, 87]",0,2,0.0,Lena Thorn
8717912500,"[78, 87]",0,2,0.0,Johan Wad??n
8739842100,"[9, 8]",2,0,1.0,Nancy J. Aburto
8889234100,[66],0,1,0.0,Manami Inoue
8980190300,[68],0,1,0.0,Jo Anne Arcand
9233646600,[66],0,1,0.0,Motoki Iwasaki
9743350400,[87],0,1,0.0,Raelene J. Pickering
10139227400,"[52, 59]",0,2,0.0,Susan M. Hailpern
12774824000,[77],0,1,0.0,Jan Filipovsk??
12781143700,[31],0,1,0.0,Fu Li Chu
13003477400,[75],0,1,0.0,Filippo Ganci
13611386400,[82],0,1,0.0,Satoyo Ikehara
13907004800,[54],0,1,0.0,Jingpu Shi
14028497200,[51],0,1,0.0,Yu Whuei Hu
14321895500,"[74, 91]",0,2,0.0,Andrew Mente
14324103000,[58],0,1,0.0,Jarmo Virtamo
14523754400,[77],0,1,0.0,Jitka Seidlerov??
15623451000,[54],0,1,0.0,Yuming Li
15736206400,[54],0,1,0.0,Amanda Milne
15830115800,[91],0,1,0.0,Sumathy Rangarajan
15831541700,[89],0,1,0.0,Michel M. Joosten
15839652500,"[78, 87]",0,2,0.0,Daniel Gordin
15841813600,[80],0,1,0.0,Joalbo M. Andrade
16039833400,[73],0,1,0.0,Wenbin Liang
16158904300,[75],0,1,0.0,Gabriella Vitrano
16162232500,[31],0,1,0.0,Chung Fu Lan
16745143700,[91],0,1,0.0,Romaina Iqbal
19435615400,[80],0,1,0.0,Jose A.F. Ramires
19735171700,"[42, 43]",0,2,0.0,Clifton R. Lacy
20437023800,[71],0,1,0.0,Jia Rong Wu
21640320400,"[48, 50, 63]",0,3,0.0,Giuseppe Licata
21834203800,[4],1,0,1.0,Ngianga Bakwin Kandala
22033867900,[54],0,1,0.0,Michelle Barlow
22034068200,[54],0,1,0.0,John Fa'atui
22034937100,[54],0,1,0.0,Kathy Jane
22035651400,[54],0,1,0.0,Rujun Pan
22035874300,[54],0,1,0.0,Shengyin Liang
22035976000,[54],0,1,0.0,Simon Pink
22036712800,[54],0,1,0.0,Xuequn Yu
22835812000,[9],1,0,1.0,Joerg J. Meerpohl
22948891400,[48],0,1,0.0,Angela Scandurra
23110866700,[91],0,1,0.0,Noushin Mohammadifard
23478260800,"[71, 86]",0,2,0.0,Susan J. Pressler
23568884900,[26],0,1,0.0,M. Wilson
23993899400,[50],0,1,0.0,Ersilia Fornaciari
23994467100,"[63, 64]",0,2,0.0,Daniele Torres
24367076500,[92],0,1,0.0,Stephen J. Sharp
24474474900,[91],0,1,0.0,Conrad Kabali
24490734300,[69],0,1,0.0,Elif I. Ekinci
24821715800,[81],0,1,0.0,Hannah Gardener
25029612300,"[78, 87]",0,2,0.0,Nina Tolonen
25031517400,[63],0,1,0.0,Manuela Mezzero
26024847200,[80],0,1,0.0,Jose C. Quinaglia e Silva
26324845700,"[84, 89]",0,2,0.0,Hiddo J.Lambers Heerspink
26531458400,[90],0,1,0.0,Emily P. McQuarrie
26643049700,[79],0,1,0.0,Muin J. Khoury
26643157800,[42],0,1,0.0,Karen C. Johnson
26643338400,[9],1,0,1.0,Paul Elliott
26644694600,"[5, 12, 6]",3,0,1.0,Kate E. Ashton
26656978600,"[71, 76, 86]",0,3,0.0,Eun Kyeung Song
26657630700,"[5, 6]",2,0,1.0,Tiffany Moxham
34568163100,[85],0,1,0.0,Steven M. Brunelli
34569675200,[90],0,1,0.0,Alan G. Jardine
34571617800,[77],0,1,0.0,Tom Richart
34668706300,[92],0,1,0.0,Nick J. Wareham
35067765300,[75],0,1,0.0,Ivana Basile
35069449800,[74],0,1,0.0,Peggy Gao
35195702500,"[53, 89]",0,2,0.0,Johanna M. Geleijnse
35224699500,[62],0,1,0.0,Takehito Hayakawa
35227393400,"[61, 66, 67, 82]",0,4,0.0,Hiroyasu Iso
35228281000,[61],0,1,0.0,Akio Yamamoto
35231751500,[67],0,1,0.0,Kazumasa Yamagishi
35235400200,[67],0,1,0.0,Hiroko Tobari
35236499700,"[42, 43]",0,2,0.0,Mark A. Espeland
35261689900,[88],0,1,0.0,Atsushi Araki
35278076000,[54],0,1,0.0,Rong Han
35291105700,[11],1,0,1.0,Brian L. Strom
35307936200,[66],0,1,0.0,Norie Sawada
35308230400,[66],0,1,0.0,Ribeka Takachi
