source,target,no_of_reports_coauthored,no_of_srrs_coauthored,no_of_psrs_coauthored,percent_srrs
5,64,1.0,0.0,1.0,0.0
5,65,1.0,0.0,1.0,0.0
5,66,1.0,0.0,1.0,0.0
5,67,2.0,0.0,2.0,0.0
5,68,1.0,0.0,1.0,0.0
5,69,2.0,0.0,2.0,0.0
5,70,2.0,0.0,2.0,0.0
5,71,2.0,0.0,2.0,0.0
5,72,1.0,0.0,1.0,0.0
5,73,2.0,0.0,2.0,0.0
5,74,2.0,0.0,2.0,0.0
5,75,1.0,0.0,1.0,0.0
5,76,2.0,0.0,2.0,0.0
5,77,2.0,0.0,2.0,0.0
5,78,1.0,0.0,1.0,0.0
5,79,1.0,0.0,1.0,0.0
5,80,2.0,0.0,2.0,0.0
5,81,1.0,0.0,1.0,0.0
5,82,2.0,0.0,2.0,0.0
5,83,1.0,0.0,1.0,0.0
5,84,1.0,0.0,1.0,0.0
5,85,2.0,0.0,2.0,0.0
5,87,2.0,0.0,2.0,0.0
5,88,1.0,0.0,1.0,0.0
5,89,1.0,0.0,1.0,0.0
5,90,2.0,0.0,2.0,0.0
5,91,2.0,0.0,2.0,0.0
5,92,2.0,0.0,2.0,0.0
5,93,1.0,0.0,1.0,0.0
5,94,1.0,0.0,1.0,0.0
5,95,2.0,0.0,2.0,0.0
5,96,2.0,0.0,2.0,0.0
5,97,1.0,0.0,1.0,0.0
5,98,2.0,0.0,2.0,0.0
5,99,1.0,0.0,1.0,0.0
5,100,1.0,0.0,1.0,0.0
5,101,2.0,0.0,2.0,0.0
5,102,1.0,0.0,1.0,0.0
5,103,1.0,0.0,1.0,0.0
5,104,1.0,0.0,1.0,0.0
5,105,1.0,0.0,1.0,0.0
5,106,1.0,0.0,1.0,0.0
5,107,2.0,0.0,2.0,0.0
5,108,2.0,0.0,2.0,0.0
5,109,1.0,0.0,1.0,0.0
5,110,2.0,0.0,2.0,0.0
5,111,1.0,0.0,1.0,0.0
5,112,2.0,0.0,2.0,0.0
5,113,1.0,0.0,1.0,0.0
5,114,1.0,0.0,1.0,0.0
5,115,1.0,0.0,1.0,0.0
5,116,1.0,0.0,1.0,0.0
5,117,1.0,0.0,1.0,0.0
5,118,1.0,0.0,1.0,0.0
5,119,1.0,0.0,1.0,0.0
5,120,1.0,0.0,1.0,0.0
5,121,1.0,0.0,1.0,0.0
5,122,1.0,0.0,1.0,0.0
5,123,1.0,0.0,1.0,0.0
5,124,1.0,0.0,1.0,0.0
5,125,1.0,0.0,1.0,0.0
5,126,1.0,0.0,1.0,0.0
5,127,1.0,0.0,1.0,0.0
5,128,1.0,0.0,1.0,0.0
5,129,1.0,0.0,1.0,0.0
5,130,1.0,0.0,1.0,0.0
5,131,1.0,0.0,1.0,0.0
5,132,1.0,0.0,1.0,0.0
5,133,1.0,0.0,1.0,0.0
5,134,1.0,0.0,1.0,0.0
5,135,1.0,0.0,1.0,0.0
5,136,1.0,0.0,1.0,0.0
5,137,1.0,0.0,1.0,0.0
5,138,1.0,0.0,1.0,0.0
5,139,1.0,0.0,1.0,0.0
5,141,1.0,0.0,1.0,0.0
5,142,1.0,0.0,1.0,0.0
5,143,1.0,0.0,1.0,0.0
